id_pos,amount,avg_daily_savings_normalized,time_saving_coef_normalized,matched_score_normalized,active_days_coef_normalized,lat,lng,dynamic_score
1541,150.0,0.0,0.0,0.0,0.1429,8.7607407,-75.878627,14.29
1445,75.0,0.0805589160416,0.76979374584165,0.6666666666666667,1.0,19.6983897,-101.1557997,481.0507394817166
1433,150.0,0.0073761752156,0.0,0.3333333333333333,0.0714,4.6126519,-74.1588958,368.0584208002533
1448,75.0,0.3545715380273,0.7713461964958972,0.0,0.5,25.3771338,-108.1331159,505.3461131557645
1454,100.0,0.0225808532946,0.0,0.3333333333333333,0.0714,19.4020911,-99.2721112,494.7842160256533
1446,50.0,0.0148987989762,0.6824129518740296,0.0,0.4286,32.3338041,-117.0521115,222.90860616209596
1501,253.0,0.4054609242681,0.8196939454424486,0.0,1.2857,16.7916347,-96.6743618,598.0337049983347
1491,140.0,0.2116910637955,0.6067864271457084,0.3333333333333333,1.4286,18.9031394,-98.4383007,514.2913014275
1477,33.65,0.381278933785,0.7773342204479929,0.0,6.3571,19.3933928,-98.9462434,1106.9835471569486
1794,25.0,0.0001722500045,0.5544466622310933,0.6666666666666667,0.7857,19.469669,-99.1206481,311.89643747356035
1518,100.0,0.0514128155496,0.4752716788644933,0.3333333333333333,0.1429,19.2670255,-99.171066,213.810416845502
1572,78.75,0.0017668832447,0.5544466622310933,0.3333333333333333,0.6429,19.21696,-98.9937663,243.33971955261703
1519,100.0,0.1683123639003,0.6974939010867156,0.3333333333333333,2.0,19.3651288,-99.1115759,479.2207145415115
1517,100.0,0.3118720220516,0.5961410512308718,0.3333333333333333,0.2857,19.2628785,-99.1045492,355.6454763262777
1527,253.0,0.360235735381,0.821024617431803,0.0,0.6429,16.7927786,-96.674133,515.5501543639606
1588,0.0,0.1366680448907,0.7112441783100465,0.0,1.5714,19.1638155,-100.1125928,394.5862609779242
1590,0.0,0.2407534947824,0.7232202262142382,0.3333333333333333,1.6429,19.1950964,-100.1326725,488.208255166411
1589,400.0,0.0738588304784,0.6620093147039254,0.0,1.0714,19.1643448,-100.1240962,312.8976779240651
1597,135.0,0.1210833878574,0.7511643379906854,0.0,5.6429,-31.2792554,-64.4636136,816.5223282614671
1624,60.0,0.1340460038573,0.817032601463739,0.0,0.6429,5.3097964,-73.812326,446.2944311229828
1601,100.0,0.0807383343178,0.7549345752938568,0.3333333333333333,1.5,19.680504,-99.1414984,415.27710887171474
